created_at,total_order_count
15-09-2019,17
16-09-2019,13
17-09-2019,7
18-09-2019,11
19-09-2019,10
20-09-2019,60
21-09-2019,3
22-09-2019,20
23-09-2019,11
24-09-2019,34
25-09-2019,16
26-09-2019,25
07-07-2020,3
27-09-2019,67
28-09-2019,13
29-09-2019,1
30-09-2019,14
01-10-2019,11
02-10-2019,1
03-10-2019,11
04-10-2019,7
05-10-2019,30
06-10-2019,16
07-10-2019,18
08-10-2019,22
06-07-2020,1
09-10-2019,5
10-10-2019,10
11-10-2019,60
12-10-2019,27
13-10-2019,10
14-10-2019,7
05-07-2020,2
15-10-2019,3
16-10-2019,23
17-10-2019,20
18-10-2019,4
19-10-2019,64
20-10-2019,1
21-10-2019,22
22-10-2019,16
23-10-2019,18
24-10-2019,15
25-10-2019,18
26-10-2019,10
27-10-2019,8
28-10-2019,20
29-10-2019,49
04-07-2020,1
30-10-2019,35
31-10-2019,53
01-11-2019,2
02-11-2019,26
03-11-2019,12
04-11-2019,13
05-11-2019,14
06-11-2019,12
07-11-2019,9
08-11-2019,9
09-11-2019,23
10-11-2019,15
11-11-2019,4
03-07-2020,1
12-11-2019,5
13-11-2019,9
14-11-2019,12
15-11-2019,9
16-11-2019,21
17-11-2019,3
18-11-2019,1
19-11-2019,15
20-11-2019,10
21-11-2019,11
22-11-2019,10
23-11-2019,6
24-11-2019,5
25-11-2019,7
26-11-2019,3
27-11-2019,8
28-11-2019,6
29-11-2019,14
30-11-2019,17
01-12-2019,6
02-12-2019,7
03-12-2019,9
04-12-2019,13
05-12-2019,8
06-12-2019,17
07-12-2019,19
08-12-2019,3
09-12-2019,3
10-12-2019,3
11-12-2019,16
12-12-2019,11
13-12-2019,33
02-07-2020,2
14-12-2019,32
15-12-2019,10
16-12-2019,35
17-12-2019,11
18-12-2019,8
19-12-2019,11
20-12-2019,15
21-12-2019,17
01-07-2020,3
22-12-2019,6
23-12-2019,2
24-12-2019,11
25-12-2019,56
26-12-2019,10
27-12-2019,22
28-12-2019,56
29-12-2019,7
30-12-2019,10
31-12-2019,65
01-01-2020,22
02-01-2020,3
03-01-2020,21
04-01-2020,15
05-01-2020,6
06-01-2020,23
30-06-2020,1
07-01-2020,34
08-01-2020,4
09-01-2020,15
10-01-2020,12
11-01-2020,6
12-01-2020,17
13-01-2020,2
14-01-2020,4
15-01-2020,20
16-01-2020,8
17-01-2020,17
29-06-2020,1
18-01-2020,20
19-01-2020,15
20-01-2020,13
21-01-2020,14
22-01-2020,3
28-06-2020,2
23-01-2020,3
24-01-2020,11
25-01-2020,16
26-01-2020,21
27-01-2020,7
28-01-2020,11
29-01-2020,20
30-01-2020,4
31-01-2020,13
01-02-2020,9
02-02-2020,23
27-06-2020,1
03-02-2020,8
04-02-2020,5
05-02-2020,1
06-02-2020,7
07-02-2020,16
08-02-2020,16
09-02-2020,20
26-06-2020,6
10-02-2020,7
11-02-2020,7
12-02-2020,7
13-02-2020,8
14-02-2020,30
15-02-2020,8
16-02-2020,20
17-02-2020,7
18-02-2020,22
19-02-2020,9
20-02-2020,11
21-02-2020,4
22-02-2020,28
02-03-2022,64
23-02-2020,26
24-02-2020,13
25-02-2020,25
26-02-2020,2
27-02-2020,2
28-02-2020,12
29-02-2020,16
01-03-2020,21
25-06-2020,5
02-03-2020,7
03-03-2020,14
04-03-2020,5
05-03-2020,1
06-03-2020,2
07-03-2020,11
08-03-2020,7
24-06-2020,8
23-06-2020,1
22-06-2020,2
21-06-2020,7
20-06-2020,4
19-06-2020,2
18-06-2020,1
17-06-2020,7
16-06-2020,2
15-06-2020,4
14-06-2020,4
13-06-2020,3
12-06-2020,1
11-06-2020,1
10-06-2020,6
09-06-2020,2
08-06-2020,1
07-06-2020,2
06-06-2020,2
09-03-2020,10
10-03-2020,8
11-03-2020,10
12-03-2020,26
13-03-2020,12
14-03-2020,8
15-03-2020,36
16-03-2020,3
17-03-2020,16
18-03-2020,8
19-03-2020,34
20-03-2020,13
21-03-2020,7
22-03-2020,1
23-03-2020,2
24-03-2020,1
25-03-2020,1
26-03-2020,2
27-03-2020,2
28-03-2020,3
29-03-2020,1
30-03-2020,5
31-03-2020,4
01-04-2020,3
02-04-2020,3
03-04-2020,1
04-04-2020,3
05-04-2020,3
06-04-2020,7
07-04-2020,2
08-04-2020,11
09-04-2020,3
10-04-2020,4
11-04-2020,16
12-04-2020,5
13-04-2020,12
14-04-2020,1
15-04-2020,9
16-04-2020,23
17-04-2020,17
18-04-2020,2
19-04-2020,3
20-04-2020,14
21-04-2020,16
22-04-2020,1
23-04-2020,13
24-04-2020,2
25-04-2020,9
26-04-2020,3
27-04-2020,4
28-04-2020,8
29-04-2020,5
30-04-2020,9
01-05-2020,2
02-05-2020,8
03-05-2020,1
04-05-2020,4
05-05-2020,2
06-05-2020,13
07-05-2020,2
08-05-2020,13
09-05-2020,5
10-05-2020,10
11-05-2020,20
12-05-2020,3
13-05-2020,11
14-05-2020,17
15-05-2020,10
16-05-2020,18
17-05-2020,25
18-05-2020,14
19-05-2020,11
20-05-2020,22
21-05-2020,5
22-05-2020,4
23-05-2020,12
24-05-2020,9
25-05-2020,14
26-05-2020,4
27-05-2020,69
28-05-2020,1
29-05-2020,8
30-05-2020,5
31-05-2020,5
01-06-2020,5
02-06-2020,6
03-06-2020,14
04-06-2020,3
05-06-2020,27
29-07-2020,20
30-07-2020,1
31-07-2020,18
01-08-2020,8
02-08-2020,12
03-08-2020,3
04-08-2020,4
05-08-2020,23
06-08-2020,4
07-08-2020,110
08-08-2020,3
09-08-2020,5
10-08-2020,20
11-08-2020,2
12-08-2020,5
13-08-2020,16
14-08-2020,36
15-08-2020,6
16-08-2020,3
17-08-2020,6
18-08-2020,2
19-08-2020,120
20-08-2020,4
21-08-2020,8
22-08-2020,4
23-08-2020,6
24-08-2020,12
25-08-2020,4
26-08-2020,5
27-08-2020,4
28-08-2020,1
29-08-2020,4
30-08-2020,5
31-08-2020,1
01-09-2020,14
02-09-2020,3
03-09-2020,1
04-09-2020,10
05-09-2020,8
06-09-2020,5
07-09-2020,5
08-09-2020,23
09-09-2020,5
10-09-2020,2
11-09-2020,15
12-09-2020,7
13-09-2020,7
14-09-2020,3
15-09-2020,4
16-09-2020,4
17-09-2020,5
18-09-2020,22
19-09-2020,12
20-09-2020,8
21-09-2020,1
22-09-2020,3
23-09-2020,4
24-09-2020,3
25-09-2020,6
26-09-2020,8
27-09-2020,5
28-09-2020,11
29-09-2020,9
30-09-2020,18
01-10-2020,21
02-10-2020,17
03-10-2020,6
04-10-2020,10
05-10-2020,6
06-10-2020,4
07-10-2020,19
08-10-2020,13
09-10-2020,9
10-10-2020,11
11-10-2020,2
12-10-2020,7
13-10-2020,6
14-10-2020,5
15-10-2020,8
16-10-2020,11
17-10-2020,7
18-10-2020,8
19-10-2020,9
20-10-2020,8
21-10-2020,8
22-10-2020,3
23-10-2020,5
24-10-2020,13
25-10-2020,20
26-10-2020,8
27-10-2020,7
28-10-2020,10
29-10-2020,3
30-10-2020,6
31-10-2020,8
01-11-2020,14
02-11-2020,12
03-11-2020,11
04-11-2020,3
05-11-2020,11
06-11-2020,7
07-11-2020,8
08-11-2020,2
09-11-2020,11
10-11-2020,13
11-11-2020,4
12-11-2020,44
13-11-2020,13
14-11-2020,12
15-11-2020,23
16-11-2020,11
17-11-2020,8
18-11-2020,10
19-11-2020,17
20-11-2020,38
21-11-2020,6
22-11-2020,2
23-11-2020,9
24-11-2020,12
25-11-2020,12
26-11-2020,27
27-11-2020,37
28-11-2020,11
29-11-2020,38
30-11-2020,9
01-12-2020,8
02-12-2020,7
03-12-2020,28
04-12-2020,35
05-12-2020,12
06-12-2020,32
07-12-2020,7
08-12-2020,15
09-12-2020,19
10-12-2020,12
11-12-2020,6
12-12-2020,16
13-12-2020,6
14-12-2020,4
15-12-2020,10
16-12-2020,2
17-12-2020,9
18-12-2020,13
19-12-2020,17
20-12-2020,11
21-12-2020,5
22-12-2020,4
23-12-2020,33
24-12-2020,12
25-12-2020,13
26-12-2020,16
27-12-2020,12
28-12-2020,6
29-12-2020,5
30-12-2020,2
31-12-2020,6
01-01-2021,21
02-01-2021,45
03-01-2021,14
04-01-2021,7
05-01-2021,9
06-01-2021,8
07-01-2021,12
08-01-2021,16
09-01-2021,35
10-01-2021,20
11-01-2021,2
12-01-2021,6
